,success,method,level,heuristic,cost,exloredNodes,frontierNodes,runtime
0,True,dfs,level1.txt,manhattan,3,22,1,0.000997304916381836
1,True,dfs,level1.txt,manhattan,3,22,1,0.0
2,True,dfs,level1.txt,manhattan,3,22,1,0.0
3,True,dfs,level1.txt,manhattan,3,22,1,0.0
4,True,dfs,level1.txt,manhattan,3,22,1,0.0010216236114501953
5,True,dfs,level1.txt,manhattan,3,22,1,0.0005993843078613281
6,True,dfs,level1.txt,manhattan,3,22,1,0.0
7,True,dfs,level1.txt,manhattan,3,22,1,0.0005970001220703125
8,True,dfs,level1.txt,manhattan,3,22,1,0.0
9,True,dfs,level1.txt,manhattan,3,22,1,0.0
10,True,dfs,level1.txt,combined,3,22,1,0.0009584426879882812
11,True,dfs,level1.txt,combined,3,22,1,0.0
12,True,dfs,level1.txt,combined,3,22,1,0.0
13,True,dfs,level1.txt,combined,3,22,1,0.0011928081512451172
14,True,dfs,level1.txt,combined,3,22,1,0.0
15,True,dfs,level1.txt,combined,3,22,1,0.0
16,True,dfs,level1.txt,combined,3,22,1,0.0
17,True,dfs,level1.txt,combined,3,22,1,0.0009539127349853516
18,True,dfs,level1.txt,combined,3,22,1,0.0
19,True,dfs,level1.txt,combined,3,22,1,0.0
20,True,bfs,level1.txt,manhattan,3,7,1,0.0
21,True,bfs,level1.txt,manhattan,3,7,1,0.0
22,True,bfs,level1.txt,manhattan,3,7,1,0.0
23,True,bfs,level1.txt,manhattan,3,7,1,0.0
24,True,bfs,level1.txt,manhattan,3,7,1,0.0
25,True,bfs,level1.txt,manhattan,3,7,1,0.0
26,True,bfs,level1.txt,manhattan,3,7,1,0.0
27,True,bfs,level1.txt,manhattan,3,7,1,0.001058816909790039
28,True,bfs,level1.txt,manhattan,3,7,1,0.0
29,True,bfs,level1.txt,manhattan,3,7,1,0.0
30,True,bfs,level1.txt,combined,3,7,1,0.0
31,True,bfs,level1.txt,combined,3,7,1,0.0
32,True,bfs,level1.txt,combined,3,7,1,0.0
33,True,bfs,level1.txt,combined,3,7,1,0.0
34,True,bfs,level1.txt,combined,3,7,1,0.0010936260223388672
35,True,bfs,level1.txt,combined,3,7,1,0.0
36,True,bfs,level1.txt,combined,3,7,1,0.0
37,True,bfs,level1.txt,combined,3,7,1,0.0
38,True,bfs,level1.txt,combined,3,7,1,0.0
39,True,bfs,level1.txt,combined,3,7,1,0.0
40,True,greedy,level1.txt,manhattan,3,6,1,0.0
41,True,greedy,level1.txt,manhattan,3,6,1,0.0
42,True,greedy,level1.txt,manhattan,3,6,1,0.0
43,True,greedy,level1.txt,manhattan,3,6,1,0.0
44,True,greedy,level1.txt,manhattan,3,6,1,0.0
45,True,greedy,level1.txt,manhattan,3,6,1,0.0
46,True,greedy,level1.txt,manhattan,3,6,1,0.0
47,True,greedy,level1.txt,manhattan,3,6,1,0.0
48,True,greedy,level1.txt,manhattan,3,6,1,0.0
49,True,greedy,level1.txt,manhattan,3,6,1,0.0
50,True,greedy,level1.txt,combined,3,6,1,0.0
51,True,greedy,level1.txt,combined,3,6,1,0.0
52,True,greedy,level1.txt,combined,3,6,1,0.0
53,True,greedy,level1.txt,combined,3,6,1,0.0
54,True,greedy,level1.txt,combined,3,6,1,0.0
55,True,greedy,level1.txt,combined,3,6,1,0.0
56,True,greedy,level1.txt,combined,3,6,1,0.0
57,True,greedy,level1.txt,combined,3,6,1,0.0
58,True,greedy,level1.txt,combined,3,6,1,0.0009987354278564453
59,True,greedy,level1.txt,combined,3,6,1,0.0
60,True,astar,level1.txt,manhattan,3,7,1,0.0
61,True,astar,level1.txt,manhattan,3,7,1,0.0
62,True,astar,level1.txt,manhattan,3,7,1,0.0
63,True,astar,level1.txt,manhattan,3,7,1,0.0015056133270263672
64,True,astar,level1.txt,manhattan,3,7,1,0.0
65,True,astar,level1.txt,manhattan,3,7,1,0.0
66,True,astar,level1.txt,manhattan,3,7,1,0.001007080078125
67,True,astar,level1.txt,manhattan,3,7,1,0.0
68,True,astar,level1.txt,manhattan,3,7,1,0.0
69,True,astar,level1.txt,manhattan,3,7,1,0.0009989738464355469
70,True,astar,level1.txt,combined,3,7,1,0.0
71,True,astar,level1.txt,combined,3,7,1,0.0010006427764892578
72,True,astar,level1.txt,combined,3,7,1,0.0
73,True,astar,level1.txt,combined,3,7,1,0.0
74,True,astar,level1.txt,combined,3,7,1,0.0
75,True,astar,level1.txt,combined,3,7,1,0.0
76,True,astar,level1.txt,combined,3,7,1,0.0
77,True,astar,level1.txt,combined,3,7,1,0.0
78,True,astar,level1.txt,combined,3,7,1,0.0
79,True,astar,level1.txt,combined,3,7,1,0.0
80,True,dfs,level2.txt,manhattan,1698,19064,706,0.32407307624816895
81,True,dfs,level2.txt,manhattan,1698,19064,706,0.198744535446167
82,True,dfs,level2.txt,manhattan,1698,19064,706,0.20442867279052734
83,True,dfs,level2.txt,manhattan,1698,19064,706,0.25066542625427246
84,True,dfs,level2.txt,manhattan,1698,19064,706,0.2047131061553955
85,True,dfs,level2.txt,manhattan,1698,19064,706,0.20080113410949707
86,True,dfs,level2.txt,manhattan,1698,19064,706,0.19834470748901367
87,True,dfs,level2.txt,manhattan,1698,19064,706,0.2533278465270996
88,True,dfs,level2.txt,manhattan,1698,19064,706,0.20286941528320312
89,True,dfs,level2.txt,manhattan,1698,19064,706,0.19869327545166016
90,True,dfs,level2.txt,combined,1698,19064,706,0.19887018203735352
91,True,dfs,level2.txt,combined,1698,19064,706,0.25948238372802734
92,True,dfs,level2.txt,combined,1698,19064,706,0.2042255401611328
93,True,dfs,level2.txt,combined,1698,19064,706,0.20453310012817383
94,True,dfs,level2.txt,combined,1698,19064,706,0.20019817352294922
95,True,dfs,level2.txt,combined,1698,19064,706,0.20411324501037598
96,True,dfs,level2.txt,combined,1698,19064,706,0.25339269638061523
97,True,dfs,level2.txt,combined,1698,19064,706,0.2074720859527588
98,True,dfs,level2.txt,combined,1698,19064,706,0.206895112991333
99,True,dfs,level2.txt,combined,1698,19064,706,0.20744729042053223
100,True,bfs,level2.txt,manhattan,78,58804,54,0.7045743465423584
101,True,bfs,level2.txt,manhattan,78,58804,54,0.7125520706176758
102,True,bfs,level2.txt,manhattan,78,58804,54,0.7878587245941162
103,True,bfs,level2.txt,manhattan,78,58804,54,0.7334942817687988
104,True,bfs,level2.txt,manhattan,78,58804,54,0.7899401187896729
105,True,bfs,level2.txt,manhattan,78,58804,54,0.7472383975982666
106,True,bfs,level2.txt,manhattan,78,58804,54,0.7144789695739746
107,True,bfs,level2.txt,manhattan,78,58804,54,0.7959434986114502
108,True,bfs,level2.txt,manhattan,78,58804,54,0.729334831237793
109,True,bfs,level2.txt,manhattan,78,58804,54,0.7799110412597656
110,True,bfs,level2.txt,combined,78,58804,54,0.7443952560424805
111,True,bfs,level2.txt,combined,78,58804,54,0.7446789741516113
112,True,bfs,level2.txt,combined,78,58804,54,0.789832592010498
113,True,bfs,level2.txt,combined,78,58804,54,0.7308499813079834
114,True,bfs,level2.txt,combined,78,58804,54,0.7208824157714844
115,True,bfs,level2.txt,combined,78,58804,54,0.7933595180511475
116,True,bfs,level2.txt,combined,78,58804,54,0.7222995758056641
117,True,bfs,level2.txt,combined,78,58804,54,0.7888128757476807
118,True,bfs,level2.txt,combined,78,58804,54,0.7308130264282227
119,True,bfs,level2.txt,combined,78,58804,54,0.722074031829834
120,True,greedy,level2.txt,manhattan,104,1763,133,0.021015405654907227
121,True,greedy,level2.txt,manhattan,104,1763,133,0.02050638198852539
122,True,greedy,level2.txt,manhattan,104,1763,133,0.17671537399291992
123,True,greedy,level2.txt,manhattan,104,1763,133,0.020504474639892578
124,True,greedy,level2.txt,manhattan,104,1763,133,0.025763273239135742
125,True,greedy,level2.txt,manhattan,104,1763,133,0.021610498428344727
126,True,greedy,level2.txt,manhattan,104,1763,133,0.022279024124145508
127,True,greedy,level2.txt,manhattan,104,1763,133,0.020677566528320312
128,True,greedy,level2.txt,manhattan,104,1763,133,0.019521236419677734
129,True,greedy,level2.txt,manhattan,104,1763,133,0.019521474838256836
130,True,greedy,level2.txt,combined,104,1765,131,0.027567386627197266
131,True,greedy,level2.txt,combined,104,1765,131,0.09762763977050781
132,True,greedy,level2.txt,combined,104,1765,131,0.029898643493652344
133,True,greedy,level2.txt,combined,104,1765,131,0.029797792434692383
134,True,greedy,level2.txt,combined,104,1765,131,0.029584646224975586
135,True,greedy,level2.txt,combined,104,1765,131,0.028375625610351562
136,True,greedy,level2.txt,combined,104,1765,131,0.02833104133605957
137,True,greedy,level2.txt,combined,104,1765,131,0.02652287483215332
138,True,greedy,level2.txt,combined,104,1765,131,0.02776336669921875
139,True,greedy,level2.txt,combined,104,1765,131,0.09322595596313477
140,True,astar,level2.txt,manhattan,78,58629,97,4.9390599727630615
141,True,astar,level2.txt,manhattan,78,58629,97,5.15357232093811
142,True,astar,level2.txt,manhattan,78,58629,97,5.125253438949585
143,True,astar,level2.txt,manhattan,78,58629,97,5.15701699256897
144,True,astar,level2.txt,manhattan,78,58629,97,5.201259613037109
145,True,astar,level2.txt,manhattan,78,58629,97,5.1350250244140625
146,True,astar,level2.txt,manhattan,78,58629,97,5.328981161117554
147,True,astar,level2.txt,manhattan,78,58629,97,5.374213933944702
148,True,astar,level2.txt,manhattan,78,58629,97,5.286832809448242
149,True,astar,level2.txt,manhattan,78,58629,97,5.244008779525757
150,True,astar,level2.txt,combined,78,58387,137,5.6872618198394775
151,True,astar,level2.txt,combined,78,58387,137,5.687070608139038
152,True,astar,level2.txt,combined,78,58387,137,5.6751134395599365
153,True,astar,level2.txt,combined,78,58387,137,5.675875186920166
154,True,astar,level2.txt,combined,78,58387,137,5.688947677612305
155,True,astar,level2.txt,combined,78,58387,137,5.6826088428497314
156,True,astar,level2.txt,combined,78,58387,137,5.700135231018066
157,True,astar,level2.txt,combined,78,58387,137,5.648847579956055
158,True,astar,level2.txt,combined,78,58387,137,5.69792103767395
159,True,astar,level2.txt,combined,78,58387,137,5.681063413619995
160,True,dfs,level3.txt,manhattan,14,102,9,0.0009982585906982422
161,True,dfs,level3.txt,manhattan,14,102,9,0.0
162,True,dfs,level3.txt,manhattan,14,102,9,0.0010905265808105469
163,True,dfs,level3.txt,manhattan,14,102,9,0.0009887218475341797
164,True,dfs,level3.txt,manhattan,14,102,9,0.0010080337524414062
165,True,dfs,level3.txt,manhattan,14,102,9,0.0009932518005371094
166,True,dfs,level3.txt,manhattan,14,102,9,0.0010097026824951172
167,True,dfs,level3.txt,manhattan,14,102,9,0.1538693904876709
168,True,dfs,level3.txt,manhattan,14,102,9,0.0
169,True,dfs,level3.txt,manhattan,14,102,9,0.0009999275207519531
170,True,dfs,level3.txt,combined,14,102,9,0.0009257793426513672
171,True,dfs,level3.txt,combined,14,102,9,0.0010714530944824219
172,True,dfs,level3.txt,combined,14,102,9,0.0
173,True,dfs,level3.txt,combined,14,102,9,0.0016019344329833984
174,True,dfs,level3.txt,combined,14,102,9,0.0010833740234375
175,True,dfs,level3.txt,combined,14,102,9,0.0
176,True,dfs,level3.txt,combined,14,102,9,0.0
177,True,dfs,level3.txt,combined,14,102,9,0.0
178,True,dfs,level3.txt,combined,14,102,9,0.0010113716125488281
179,True,dfs,level3.txt,combined,14,102,9,0.0010046958923339844
180,True,bfs,level3.txt,manhattan,10,136,43,0.0019953250885009766
181,True,bfs,level3.txt,manhattan,10,136,43,0.0009922981262207031
182,True,bfs,level3.txt,manhattan,10,136,43,0.001003265380859375
183,True,bfs,level3.txt,manhattan,10,136,43,0.0010178089141845703
184,True,bfs,level3.txt,manhattan,10,136,43,0.0009002685546875
185,True,bfs,level3.txt,manhattan,10,136,43,0.0011034011840820312
186,True,bfs,level3.txt,manhattan,10,136,43,0.0009565353393554688
187,True,bfs,level3.txt,manhattan,10,136,43,0.00103759765625
188,True,bfs,level3.txt,manhattan,10,136,43,0.0
189,True,bfs,level3.txt,manhattan,10,136,43,0.001001119613647461
190,True,bfs,level3.txt,combined,10,136,43,0.0010151863098144531
191,True,bfs,level3.txt,combined,10,136,43,0.0009872913360595703
192,True,bfs,level3.txt,combined,10,136,43,0.0019199848175048828
193,True,bfs,level3.txt,combined,10,136,43,0.0
194,True,bfs,level3.txt,combined,10,136,43,0.00037980079650878906
195,True,bfs,level3.txt,combined,10,136,43,0.0010395050048828125
196,True,bfs,level3.txt,combined,10,136,43,0.0
197,True,bfs,level3.txt,combined,10,136,43,0.0009465217590332031
198,True,bfs,level3.txt,combined,10,136,43,0.0005075931549072266
199,True,bfs,level3.txt,combined,10,136,43,0.0
200,True,greedy,level3.txt,manhattan,10,30,8,0.0
201,True,greedy,level3.txt,manhattan,10,30,8,0.0
202,True,greedy,level3.txt,manhattan,10,30,8,0.0015056133270263672
203,True,greedy,level3.txt,manhattan,10,30,8,0.0
204,True,greedy,level3.txt,manhattan,10,30,8,0.001007080078125
205,True,greedy,level3.txt,manhattan,10,30,8,0.0
206,True,greedy,level3.txt,manhattan,10,30,8,0.0010006427764892578
207,True,greedy,level3.txt,manhattan,10,30,8,0.0
208,True,greedy,level3.txt,manhattan,10,30,8,0.0009987354278564453
209,True,greedy,level3.txt,manhattan,10,30,8,0.0
210,True,greedy,level3.txt,combined,10,30,8,0.0009999275207519531
211,True,greedy,level3.txt,combined,10,30,8,0.0
212,True,greedy,level3.txt,combined,10,30,8,0.0008420944213867188
213,True,greedy,level3.txt,combined,10,30,8,0.0010006427764892578
214,True,greedy,level3.txt,combined,10,30,8,0.0009989738464355469
215,True,greedy,level3.txt,combined,10,30,8,0.0
216,True,greedy,level3.txt,combined,10,30,8,0.0010836124420166016
217,True,greedy,level3.txt,combined,10,30,8,0.0
218,True,greedy,level3.txt,combined,10,30,8,0.0010023117065429688
219,True,greedy,level3.txt,combined,10,30,8,0.001012563705444336
220,True,astar,level3.txt,manhattan,10,77,21,0.0009877681732177734
221,True,astar,level3.txt,manhattan,10,77,21,0.0
222,True,astar,level3.txt,manhattan,10,77,21,0.0
223,True,astar,level3.txt,manhattan,10,77,21,0.0017025470733642578
224,True,astar,level3.txt,manhattan,10,77,21,0.0
225,True,astar,level3.txt,manhattan,10,77,21,0.001085042953491211
226,True,astar,level3.txt,manhattan,10,77,21,0.0009992122650146484
227,True,astar,level3.txt,manhattan,10,77,21,0.000997304916381836
228,True,astar,level3.txt,manhattan,10,77,21,0.0010035037994384766
229,True,astar,level3.txt,manhattan,10,77,21,0.0009160041809082031
230,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
