generation,mean_performance,diversity,selection_method_1,selection_method_2,A_and_B,run
0,19.019801349566322,1.4897797432661772,elite,roulette,0.1,1
1,20.355049113812896,1.4933880806699096,elite,roulette,0.1,1
2,21.34915993137474,1.461424056575118,elite,roulette,0.1,1
3,22.296818655597622,1.357480834386023,elite,roulette,0.1,1
4,23.281187493305,1.3619905682428985,elite,roulette,0.1,1
5,23.666260794961268,1.3212308216243132,elite,roulette,0.1,1
6,24.781033800490803,1.094821737739163,elite,roulette,0.1,1
7,25.297962467643462,0.9875454091878774,elite,roulette,0.1,1
8,26.018226709784848,0.8471637115334568,elite,roulette,0.1,1
9,26.18872096755315,0.791592735841547,elite,roulette,0.1,1
10,26.695655783847037,0.7099744320812437,elite,roulette,0.1,1
11,27.199876184629883,0.58460714574035,elite,roulette,0.1,1
12,27.35198120648701,0.4139987835733872,elite,roulette,0.1,1
13,27.735944992395215,0.3082334132925699,elite,roulette,0.1,1
14,27.74079661839461,0.301361614658685,elite,roulette,0.1,1
15,27.94542709942027,0.28114635574441477,elite,roulette,0.1,1
16,27.969280936589108,0.2379986503236697,elite,roulette,0.1,1
17,28.12063826607973,0.18499519257018174,elite,roulette,0.1,1
18,28.419864709585944,0.13581184368292,elite,roulette,0.1,1
19,28.282283992141142,0.14562570754390658,elite,roulette,0.1,1
20,28.461395127716884,0.15149799041647485,elite,roulette,0.1,1
21,28.66716745250726,0.15426809474962844,elite,roulette,0.1,1
22,28.580418827567886,0.17172161681764328,elite,roulette,0.1,1
23,28.412705194868767,0.18748472485774395,elite,roulette,0.1,1
24,29.034972530850613,0.19846446700715603,elite,roulette,0.1,1
25,29.09488447145518,0.18971572327046946,elite,roulette,0.1,1
26,29.07434320270558,0.18447176383484534,elite,roulette,0.1,1
27,29.428805267207185,0.19057825105448298,elite,roulette,0.1,1
28,29.694391643190684,0.19117465233218356,elite,roulette,0.1,1
29,29.805789666436784,0.17327427948520793,elite,roulette,0.1,1
30,30.17491241326163,0.16631225355276955,elite,roulette,0.1,1
31,30.175581667429068,0.19214917171719392,elite,roulette,0.1,1
32,30.1336969464928,0.2065501262895707,elite,roulette,0.1,1
33,30.365533447434345,0.19282258461879595,elite,roulette,0.1,1
34,30.55716523973892,0.20143009085627736,elite,roulette,0.1,1
35,30.560785916600583,0.20523719426540962,elite,roulette,0.1,1
36,30.653193664444338,0.20476642736223516,elite,roulette,0.1,1
37,30.594578005229994,0.2042270561740248,elite,roulette,0.1,1
38,30.442675663279264,0.19018078259442206,elite,roulette,0.1,1
39,30.498419387507493,0.1661741656919454,elite,roulette,0.1,1
40,30.423250271217338,0.1799133263487934,elite,roulette,0.1,1
41,30.351877562484738,0.19890730784300173,elite,roulette,0.1,1
42,30.637240314867228,0.20725952304231707,elite,roulette,0.1,1
43,30.49352179578893,0.19560133658191112,elite,roulette,0.1,1
44,30.810600958377464,0.18168633728318284,elite,roulette,0.1,1
45,31.366389965796245,0.1578338411734662,elite,roulette,0.1,1
46,31.543126304608705,0.16783524735287358,elite,roulette,0.1,1
47,31.751827933834665,0.15901678745495235,elite,roulette,0.1,1
48,31.627028902737976,0.14751842835939838,elite,roulette,0.1,1
49,31.55934858067903,0.1538856446143723,elite,roulette,0.1,1
50,31.501892738354965,0.17368723680809092,elite,roulette,0.1,1
51,31.2891520368314,0.16616924543591963,elite,roulette,0.1,1
52,31.06895437700699,0.1491178815005129,elite,roulette,0.1,1
53,30.96127015301215,0.1602018971826186,elite,roulette,0.1,1
54,31.144982310130214,0.16369211529556846,elite,roulette,0.1,1
55,31.583201517243147,0.15466680496588459,elite,roulette,0.1,1
56,31.34091259929028,0.1555279207297889,elite,roulette,0.1,1
57,32.01153535656788,0.14200240519735843,elite,roulette,0.1,1
58,31.941595879454635,0.15647894591789127,elite,roulette,0.1,1
59,32.1286027275292,0.1649880596529531,elite,roulette,0.1,1
60,32.53874041734859,0.18489022974785593,elite,roulette,0.1,1
61,32.779212313677135,0.1714071113937048,elite,roulette,0.1,1
